E11000001,Bedfordshire
E11000002,Berkshire
E11000003,Bristol
E10000002,Buckinghamshire
E10000003,Cambridgeshire
E11000004,Cheshire
E11000005,City of London
E11000006,Cornwall
E11000007,County Durham
E10000006,Cumbria
E10000007,Derbyshire
E10000008,Devon
E10000009,Dorset
E11000008,East Riding of Yorkshire
E10000011,East Sussex
E10000012,Essex
E10000013,Gloucestershire
E11000009,Greater London
E11000010,Greater Manchester
E10000014,Hampshire
E11000011,Herefordshire
E10000015,Hertfordshire
E11000012,Isle of Wight
E10000016,Kent
E10000017,Lancashire
E10000018,Leicestershire
E10000019,Lincolnshire
E11000013,Merseyside
E10000020,Norfolk
E10000023,North Yorkshire
E10000021,Northamptonshire
E11000021,Northumberland
E10000024,Nottinghamshire
E10000025,Oxfordshire
E11000014,Rutland
E11000015,Shropshire
E10000027,Somerset
E11000016,South Yorkshire
E10000028,Staffordshire
E10000029,Suffolk
E10000030,Surrey
E11000017,Tyne and Wear
E10000031,Warwickshire
E11000018,West Midlands
E10000032,West Sussex
E11000019,West Yorkshire
E11000020,Wiltshire
E10000034,Worcestershire
